~id,~from,~to,~label,strength
1,10.1145/3196398.3196444,10.1016/j.cosrev.2017.10.002,citation,1
2,10.1007/978-3-030-03493-1_59,10.1016/j.cosrev.2017.10.002,citation,1
3,10.1177/0165551519877049,10.1016/j.cosrev.2017.10.002,citation,1
4,10.23919/fruct.2019.8711900,10.1016/j.cosrev.2017.10.002,citation,1
5,10.1007/s10803-019-04242-3,10.1016/j.cosrev.2017.10.002,citation,1
6,10.1177/2053951718823815,10.1016/j.cosrev.2017.10.002,citation,1
7,10.4018/978-1-5225-8575-6.ch007,10.1016/j.cosrev.2017.10.002,citation,1
8,10.1007/978-3-030-20055-8_49,10.1016/j.cosrev.2017.10.002,citation,1
9,10.1007/978-3-030-23943-5_16,10.1016/j.cosrev.2017.10.002,citation,1
10,10.1007/978-3-030-26061-3_28,10.1016/j.cosrev.2017.10.002,citation,1
11,10.1007/978-3-030-29513-4_22,10.1016/j.cosrev.2017.10.002,citation,1
12,10.1007/978-3-030-30577-2_21,10.1016/j.cosrev.2017.10.002,citation,1
13,10.1007/978-3-030-17065-3_10,10.1016/j.cosrev.2017.10.002,citation,1
14,10.1080/01587919.2019.1632171,10.1016/j.cosrev.2017.10.002,citation,1
15,10.1080/09720510.2018.1471263,10.1016/j.cosrev.2017.10.002,citation,1
16,10.1007/978-3-319-99007-1_32,10.1016/j.cosrev.2017.10.002,citation,1
17,10.1109/icwr.2018.8387244,10.1016/j.cosrev.2017.10.002,citation,1
18,10.3390/su12010320,10.1016/j.cosrev.2017.10.002,citation,1
19,10.5334/labphon.163,10.1016/j.cosrev.2017.10.002,citation,1
20,10.1080/17517575.2019.1669829,10.1016/j.cosrev.2017.10.002,citation,1
21,10.1111/exsy.12527,10.1016/j.cosrev.2017.10.002,citation,1
22,10.1007/978-981-15-0146-3_100,10.1016/j.cosrev.2017.10.002,citation,1
23,10.3390/app10020431,10.1016/j.cosrev.2017.10.002,citation,1
24,10.1108/el-04-2019-0093,10.1016/j.cosrev.2017.10.002,citation,1
25,10.1093/comjnl/bxz163,10.1016/j.cosrev.2017.10.002,citation,1
26,10.1007/s12065-020-00366-z,10.1016/j.cosrev.2017.10.002,citation,1
27,10.1007/s00500-019-04402-8,10.1016/j.cosrev.2017.10.002,citation,1
28,10.1142/s0219622019300052,10.1016/j.cosrev.2017.10.002,citation,1
29,10.4018/ijse.2020010103,10.1016/j.cosrev.2017.10.002,citation,1
30,10.1007/978-981-13-2262-4_138-1,10.1016/j.cosrev.2017.10.002,citation,1
31,10.1007/978-3-030-36778-7_22,10.1016/j.cosrev.2017.10.002,citation,1
32,10.1007/978-3-030-44289-7_6,10.1016/j.cosrev.2017.10.002,citation,1
33,10.1080/13629387.2019.1711061,10.1016/j.cosrev.2017.10.002,citation,1
34,10.4018/978-1-5225-9643-1.ch001,10.1016/j.cosrev.2017.10.002,citation,1
35,10.4018/978-1-5225-9932-6.ch007,10.1016/j.cosrev.2017.10.002,citation,1
36,10.18267/j.pep.740,10.1016/j.cosrev.2017.10.002,citation,1
37,10.3390/app10051647,10.1016/j.cosrev.2017.10.002,citation,1
38,10.1371/journal.pone.0229985,10.1016/j.cosrev.2017.10.002,citation,1
39,10.1007/s42488-019-00013-y,10.1016/j.cosrev.2017.10.002,citation,1
40,10.3390/socsci9030023,10.1016/j.cosrev.2017.10.002,citation,1
41,10.4018/978-1-7998-3038-2.ch015,10.1016/j.cosrev.2017.10.002,citation,1
42,10.1108/jpbm-03-2018-1774,10.1016/j.cosrev.2017.10.002,citation,1
43,10.1007/s00521-020-04937-0,10.1016/j.cosrev.2017.10.002,citation,1
44,10.1108/bfj-03-2019-0172,10.1016/j.cosrev.2017.10.002,citation,1
45,10.1108/bfj-12-2019-0909,10.1016/j.cosrev.2017.10.002,citation,1
46,10.1080/10871209.2020.1753132,10.1016/j.cosrev.2017.10.002,citation,1
47,10.1039/c9rp00282k,10.1016/j.cosrev.2017.10.002,citation,1
48,10.1007/s12144-020-00872-4,10.1016/j.cosrev.2017.10.002,citation,1
49,10.1007/978-981-15-7219-7_18,10.1016/j.cosrev.2017.10.002,citation,1
50,10.1108/qae-03-2020-0032,10.1016/j.cosrev.2017.10.002,citation,1
51,10.1007/s11042-020-09289-4,10.1016/j.cosrev.2017.10.002,citation,1
52,10.1007/s12559-020-09745-1,10.1016/j.cosrev.2017.10.002,citation,1
53,10.1088/1742-6596/1538/1/012060,10.1016/j.cosrev.2017.10.002,citation,1
54,10.1007/978-981-15-4474-3_6,10.1016/j.cosrev.2017.10.002,citation,1
55,10.1002/pan3.10130,10.1016/j.cosrev.2017.10.002,citation,1
56,10.1007/s11135-020-01000-x,10.1016/j.cosrev.2017.10.002,citation,1
58,10.1145/3239235.3267434,10.1145/3196398.3196444,citation,1
62,10.1177/0165551520911590,10.1177/0165551519877049,citation,1
68,10.3390/su11071961,10.1177/2053951718823815,citation,1
69,10.26565/2227-6521-2019-42-06,10.1177/2053951718823815,citation,1
70,10.30853/manuscript.2020.4.24,10.1177/2053951718823815,citation,1
71,10.1007/978-3-030-44999-5_39,10.1177/2053951718823815,citation,1
72,10.1177/2053951720933286,10.1177/2053951718823815,citation,1
