~id,~label,oa_link,citation_count,source_title,year,title,topic
10.1016/j.cosrev.2017.10.002,article,http://jultika.oulu.fi/files/nbnfi-fe2019060318264.pdf,56,Computer Science Review,2018,"The Evolution Of Sentiment Analysis—A Review Of Research Topics, Venues, And Top Cited Papers",Economics
10.1145/3196398.3196444,article,http://arxiv.org/pdf/1803.07292,1,Proceedings Of The 15Th International Conference On Mining Software Repositories - Msr '18,2018,Natural Language Or Not (Nlon),Humanities
10.1007/978-3-030-03493-1_59,article,,0,Intelligent Data Engineering And Automated Learning – Ideal 2018 - Lecture Notes In Computer Science,2018,Concatenating Or Averaging? Hybrid Sentences Representations For Sentiment Analysis,Health Science
10.1177/0165551519877049,article,,1,Journal Of Information Science,2019,A Bibliometric Analysis Of Topic Modelling Studies (2000–2017),Economics
10.23919/fruct.2019.8711900,article,,0,2019 24Th Conference Of Open Innovations Association (Fruct),2019,Sentiment In Academic Texts,Humanities
10.1007/s10803-019-04242-3,article,,0,Journal Of Autism And Developmental Disorders,2019,Sentiment Analysis In Children With Neurodevelopmental Disorders In An Ingroup/Outgroup Setting,Health Science
10.1177/2053951718823815,article,https://journals.sagepub.com/doi/pdf/10.1177/2053951718823815,5,Big Data & Society,2019,Conceptual Frameworks For Social And Cultural Big Data Analytics: Answering The Epistemological Challenge,Economics
10.4018/978-1-5225-8575-6.ch007,article,http://pdfs.semanticscholar.org/33f5/1ae1ba2445a92239bff5e48d35a61bda0faa.pdf,1,"Exploring The Power Of Electronic Word-Of-Mouth In The Services Industry - Advances In Marketing, Customer Relationship Management, And E-Services",2020,Using Sentiment Analysis For Evaluating E-Wom,Humanities
10.1007/978-3-030-20055-8_49,article,,0,Advances In Intelligent Systems And Computing - 14Th International Conference On Soft Computing Models In Industrial And Environmental Applications (Soco 2019),2019,Opinion Mining To Detect Irony In Twitter Messages In Spanish,Health Science
10.1007/978-3-030-23943-5_16,article,,0,"Lecture Notes Of The Institute For Computer Sciences, Social Informatics And Telecommunications Engineering - Emerging Technologies In Computing",2019,Sentiment Analysis In E-Commerce Using Svm On Roman Urdu Text,Economics
10.1007/978-3-030-26061-3_28,article,,0,Speech And Computer - Lecture Notes In Computer Science,2019,Estimating Aggressiveness Of Russian Texts By Means Of Machine Learning,Humanities
10.1007/978-3-030-29513-4_22,article,,0,Advances In Intelligent Systems And Computing - Intelligent Systems And Applications,2019,The Social Net Of Sentiment: Improving The Base Sentiment Analysis Of High Impact Events With Lexical Category Exploration,Health Science
10.1007/978-3-030-30577-2_21,article,,0,Proceedings Of Icetit 2019 - Lecture Notes In Electrical Engineering,2019,Sentiment Analysis Using Fuzzy-Deep Learning,Economics
10.1007/978-3-030-17065-3_10,article,,0,Proceedings Of The Tenth International Conference On Soft Computing And Pattern Recognition (Socpar 2018) - Advances In Intelligent Systems And Computing,2019,Sentiment Analysis On Tweets For Trains Using Machine Learning,Humanities
10.1080/01587919.2019.1632171,article,,0,Distance Education,2019,Student Data Privacy In Moocs: A Sentiment Analysis,Economics
10.1080/09720510.2018.1471263,article,,1,Journal Of Statistics And Management Systems,2018,Sentiment Analysis Of Print Media Coverage Using Deep Neural Networking,Humanities
10.1007/978-3-319-99007-1_32,article,,0,Advances In Intelligent Systems And Computing - Recent Trends In Data Science And Soft Computing,2018,A Review On Exploiting Social Media Analytics For The Growth Of Tourism,Health Science
10.1109/icwr.2018.8387244,article,,0,2018 4Th International Conference On Web Research (Icwr),2018,Uninorm Operators For Sentence-Level Score Aggregation In Sentiment Analysis,Economics
10.3390/su12010320,article,https://www.mdpi.com/2071-1050/12/1/320/pdf,1,Sustainability,2019,A Recommendation Mechanism For Under-Emphasized Tourist Spots Using Topic Modeling And Sentiment Analysis,Humanities
10.5334/labphon.163,article,http://www.journal-labphon.org/articles/10.5334/labphon.163/galley/196/download/,0,Laboratory Phonology: Journal Of The Association For Laboratory Phonology,2019,Prosodic Features Of Stances In Conversation,Health Science
10.1080/17517575.2019.1669829,article,,0,Enterprise Information Systems,2019,The Effect Of Aggregation Methods On Sentiment Classification In Persian Reviews,Economics
10.1111/exsy.12527,article,,0,Expert Systems,2020,Enriched Latent Dirichlet Allocation For Sentiment Analysis,Humanities
10.1007/978-981-15-0146-3_100,article,,0,Lecture Notes In Networks And Systems - Inventive Communication And Computational Technologies,2020,Non-Bipolar Evaluation And Visualization Of Online Text Reviews,Health Science
10.3390/app10020431,article,https://www.mdpi.com/2076-3417/10/2/431/pdf,0,Applied Sciences,2020,Innovative Approaches In Sports Science—Lexicon-Based Sentiment Analysis As A Tool To Analyze Sports-Related Twitter Communication,Economics
10.1108/el-04-2019-0093,article,,0,The Electronic Library,2019,Sentiment Classification Of Chinese Cosmetic Reviews Based On Integration Of Collocations And Concepts,Humanities
10.1093/comjnl/bxz163,article,,0,The Computer Journal,2020,Sentiment Classification Using Two Effective Optimization Methods Derived From The Artificial Bee Colony Optimization And Imperialist Competitive Algorithm,Health Science
10.1007/s12065-020-00366-z,article,,0,Evolutionary Intelligence,2020,Evolving Dictionary Based Sentiment Scoring Framework For Patient Authored Text,Economics
10.1007/s00500-019-04402-8,article,,3,Soft Computing,2019,Exploration Of Social Media For Sentiment Analysis Using Deep Learning,Humanities
10.1142/s0219622019300052,article,https://doi.org/10.1142/s0219622019300052,1,International Journal Of Information Technology & Decision Making,2020,A Review On Human-Computer Interaction And Intelligent Robots,Economics
10.4018/ijse.2020010103,article,,0,International Journal Of Synthetic Emotions,2020,Real Time Sentiment Analysis,Humanities
10.1007/978-981-13-2262-4_138-1,article,,0,Encyclopedia Of Educational Innovation,2019,Sentiment Analysis In Education,Health Science
10.1007/978-3-030-36778-7_22,article,,0,Learning And Analytics In Intelligent Systems - Innovation In Information Systems And Technologies To Support Learning Research,2019,A Comparative Study Of Feature Selection Methods For Informal Arabic,Economics
10.1007/978-3-030-44289-7_6,article,,0,Advances In Intelligent Systems And Computing - Proceedings Of The International Conference On Artificial Intelligence And Computer Vision (Aicv2020),2020,A Survey Of Semantic Analysis Approaches,Humanities
10.1080/13629387.2019.1711061,article,,0,The Journal Of North African Studies,2020,"The Moroccan Education System, Dilemma Of Language And Think-Tanks: The Challenges Of Social Development For The North African Country",Health Science
10.4018/978-1-5225-9643-1.ch001,article,,0,Handbook Of Research On Emerging Trends And Applications Of Machine Learning - Advances In Computational Intelligence And Robotics,2020,Method To Rank Academic Institutes By The Sentiment Analysis Of Their Online Reviews,Economics
10.4018/978-1-5225-9932-6.ch007,article,,0,"Advances In Civil And Industrial Engineering - Handbook Of Research On Urban-Rural Synergy Development Through Housing, Landscape, And Tourism",2020,Information System Supporting Heterogeneous Sources For Promoting Destination Of Rural Areas,Humanities
10.18267/j.pep.740,article,http://pep.vse.cz/doi/10.18267/j.pep.740.pdf,0,Prague Economic Papers,2020,Planning Cities Development Directions With The Application Of Sentiment Analysis,Health Science
10.3390/app10051647,article,https://www.mdpi.com/2076-3417/10/5/1647/pdf,0,Applied Sciences,2020,A Sequential Emotion Approach For Diagnosing Mental Disorder On Social Media,Economics
10.1371/journal.pone.0229985,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0229985&type=printable,0,Plos One,2020,Social Language In Autism Spectrum Disorder: A Computational Analysis Of Sentiment And Linguistic Abstraction,Humanities
10.1007/s42488-019-00013-y,article,https://link.springer.com/content/pdf/10.1007/s42488-019-00013-y.pdf,0,"Journal Of Data, Information And Management",2019,Multi-Class Approach For User Behavior Prediction Using Deep Learning Framework On Twitter Election Dataset,Health Science
10.3390/socsci9030023,article,https://www.mdpi.com/2076-0760/9/3/23/pdf,0,Social Sciences,2020,Opinion Mining And Sentiment Analysis In Marketing Communications: A Science Mapping Analysis In Web Of Science (1998–2018),Economics
10.4018/978-1-7998-3038-2.ch015,article,,0,"Advances In Computational Intelligence And Robotics - Innovations, Algorithms, And Applications In Cognitive Informatics And Natural Intelligence",2020,The Layout Of Sentiment Lexica In Word Vector Space,Humanities
10.1108/jpbm-03-2018-1774,article,,0,Journal Of Product & Brand Management,2020,Technology Adoption News And Corporate Reputation: Sentiment Analysis About The Introduction Of Bitcoin,Economics
10.1007/s00521-020-04937-0,article,http://oa.upm.es/62512/1/INVE_MEM_2020_314997.pdf,0,Neural Computing And Applications,2020,Electronic Word-Of-Mouth Effects On Studio Performance Leveraging Attention-Based Model,Humanities
10.1108/bfj-03-2019-0172,article,,0,British Food Journal,2020,Social Media Exploration For Understanding Food Product Attributes Perception: The Case Of Coffee And Health With Twitter Data,Health Science
10.1108/bfj-12-2019-0909,article,http://eprints.worc.ac.uk/9428/1/Rezaei-9428-Customers-experiences-of-fast-food-delivery-services-uncovering-the-semantic-core-benefits-actual-and-augmented-product-by-text-mining.pdf,0,British Food Journal,2020,"Customers’ Experiences Of Fast Food Delivery Services: Uncovering The Semantic Core Benefits, Actual And Augmented Product By Text Mining",Economics
10.1080/10871209.2020.1753132,article,,0,Human Dimensions Of Wildlife,2020,Many Iucn Red List Species Have Names That Evoke Negative Emotions,Humanities
10.1039/c9rp00282k,article,,0,Chemistry Education Research And Practice,2020,Describing The Public Perception Of Chemistry On Twitter,Health Science
10.1007/s12144-020-00872-4,article,https://link.springer.com/content/pdf/10.1007/s12144-020-00872-4.pdf,0,Current Psychology,2020,The Development And Validation Of The Romanian Version Of Linguistic Inquiry And Word Count 2015 (Ro-Liwc2015),Economics
10.1007/978-981-15-7219-7_18,article,,0,"Communications In Computer And Information Science - Emerging Technology Trends In Electronics, Communication And Networking",2020,Comparative Study Of Sentiment Analysis And Text Summarization For Commercial Social Networks,Humanities
10.1108/qae-03-2020-0032,article,,0,Quality Assurance In Education,2020,Are Rankings And Accreditation Related? Examining The Dynamics Of Higher Education In Poland,Health Science
10.1007/s11042-020-09289-4,article,,0,Multimedia Tools And Applications,2020,Graph Based Sentiment Analysis Using Keyword Rank Based Polarity Assignment,Economics
10.1007/s12559-020-09745-1,article,,0,Cognitive Computation,2020,A Structural Topic Modeling-Based Bibliometric Study Of Sentiment Analysis Literature,Humanities
10.1088/1742-6596/1538/1/012060,article,https://doi.org/10.1088/1742-6596/1538/1/012060,0,Journal Of Physics: Conference Series,2020,Sentiment Analysis For Indonesia Hotel Services Review Using Optimized Neural Network,Health Science
10.1007/978-981-15-4474-3_6,article,,0,Lecture Notes On Data Engineering And Communications Technologies - Data Science And Intelligent Applications,2020,Sentiment Analysis—An Evaluation Of The Sentiment Of The People: A Survey,Economics
10.1002/pan3.10130,article,https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pan3.10130,0,People And Nature,2020,Understanding Sentiment Of National Park Visitors From Social Media Data,Humanities
10.1007/s11135-020-01000-x,article,https://link.springer.com/content/pdf/10.1007/s11135-020-01000-x.pdf,0,Quality & Quantity,2020,A Semantic Network Approach To Measuring Sentiment,Economics
10.1145/3239235.3267434,article,http://jultika.oulu.fi/files/nbnfi-fe201901041331.pdf,0,Proceedings Of The 12Th Acm/Ieee International Symposium On Empirical Software Engineering And Measurement,2018,On The Use Of Emoticons In Open Source Software Development,Humanities
10.1177/0165551520911590,article,,0,Journal Of Information Science,2020,An Ensemble Clustering Approach For Topic Discovery Using Implicit Text Segmentation,Health Science
10.3390/su11071961,article,https://www.mdpi.com/2071-1050/11/7/1961/pdf,9,Sustainability,2019,A Novel Ict Framework For Sustainable Development Goals,Economics
10.26565/2227-6521-2019-42-06,article,https://periodicals.karazin.ua/ssms/article/download/14869/13894,0,"Visnyk V. N. Karazin Kharkiv National University. Series ""Sociological Studies Of Contemporary Society: Methodology, Theory, Methods""",2019,Big Data In The Context Of Studying Problems Of Modern Society,Humanities
10.30853/manuscript.2020.4.24,article,https://doi.org/10.30853/manuscript.2020.4.24,0,Manuskript,2020,Big Data: Challenges And Opportunities In Social Sciences,Health Science
10.1007/978-3-030-44999-5_39,article,https://link.springer.com/content/pdf/10.1007%2F978-3-030-44999-5_39.pdf,0,"Lecture Notes In Computer Science - Responsible Design, Implementation And Use Of Information And Communication Technology",2020,Requirements Of Data Visualisation Tools To Analyse Big Data: A Structured Literature Review,Economics
10.1177/2053951720933286,article,https://journals.sagepub.com/doi/pdf/10.1177/2053951720933286,0,Big Data & Society,2020,Data For Queer Lives: How Lgbtq Gender And Sexuality Identities Challenge Norms Of Demographics,Humanities
10.4018/978-1-7998-2874-7.ch005,article,,0,Managerial Challenges And Social Impacts Of Virtual And Augmented Reality - Advances In Computational Intelligence And Robotics,2020,Augmented Reality And Mobile Consumers,Health Science
10.1080/02522667.2019.1616911,article,,1,Journal Of Information And Optimization Sciences,2019,Deep Lda : A New Way To Topic Model,Economics
10.3390/su12083293,article,https://www.mdpi.com/2071-1050/12/8/3293/pdf,0,Sustainability,2020,Lender Trust On The P2P Lending: Analysis Based On Sentiment Analysis Of Comment Text,Humanities
10.1007/s10462-020-09845-2,article,,0,Artificial Intelligence Review,2020,Sentiment Analysis With Deep Neural Networks: Comparative Study And Performance Assessment,Health Science
10.1007/s00500-020-04922-8,article,,0,Soft Computing,2020,Legalcap: A Model For Complex Case Discrimination Based On Capsule Neural Network,Economics
10.1007/s00500-020-04939-z,article,https://link.springer.com/content/pdf/10.1007/s00500-020-04939-z.pdf,0,Soft Computing,2020,"Deep Learning: Emerging Trends, Applications And Research Challenges",Humanities
