~id,~from,~to,~label,strength
0,10.1287/stsc.2019.0081,10.1162/rest_a_00754,citation,1
1,10.3390/socsci8020037,10.1162/rest_a_00754,citation,1
2,10.1111/ecin.12829,10.1162/rest_a_00754,citation,1
3,10.1007/s13209-019-0190-z,10.1162/rest_a_00754,citation,1
4,10.1186/s41469-019-0050-0,10.1162/rest_a_00754,citation,1
5,10.1371/journal.pone.0216617,10.1162/rest_a_00754,citation,1
6,10.1371/journal.pone.0222785,10.1162/rest_a_00754,citation,1
7,10.1080/14480220.2019.1629724,10.1162/rest_a_00754,citation,1
8,10.1093/icc/dtz039,10.1162/rest_a_00754,citation,1
9,10.1596/978-1-4648-1333-7_ch1,10.1162/rest_a_00754,citation,1
10,10.1596/978-1-4648-1333-7_ch3,10.1162/rest_a_00754,citation,1
11,10.29067/muvu.519936,10.1162/rest_a_00754,citation,1
12,10.1093/cjres/rsz019,10.1162/rest_a_00754,citation,1
13,10.1093/cjres/rsz022,10.1162/rest_a_00754,citation,1
14,10.1093/cjres/rsz023,10.1162/rest_a_00754,citation,1
15,10.1257/aer.20181164,10.1162/rest_a_00754,citation,1
16,10.4018/978-1-7998-1196-1.ch005,10.1162/rest_a_00754,citation,1
17,10.1093/icc/dtz059,10.1162/rest_a_00754,citation,1
18,10.1007/978-3-319-57365-6_10-1,10.1162/rest_a_00754,citation,1
19,10.1007/978-3-319-57365-6_11-1,10.1162/rest_a_00754,citation,1
20,10.1007/978-3-319-57365-6_12-1,10.1162/rest_a_00754,citation,1
21,10.1007/978-3-319-57365-6_12-2,10.1162/rest_a_00754,citation,1
22,10.1007/978-3-319-57365-6_4-1,10.1162/rest_a_00754,citation,1
23,10.1007/978-3-030-34255-5_21,10.1162/rest_a_00754,citation,1
24,10.1596/978-1-4648-1457-0_ch6,10.1162/rest_a_00754,citation,1
25,10.1007/s00502-019-00742-3,10.1162/rest_a_00754,citation,1
26,10.1155/2020/4280156,10.1162/rest_a_00754,citation,1
27,10.1080/09654313.2019.1694647,10.1162/rest_a_00754,citation,1
28,10.35774/econa2018.03.047,10.1162/rest_a_00754,citation,1
29,10.1080/10438599.2019.1685211,10.1162/rest_a_00754,citation,1
30,10.1080/1351847x.2019.1703024,10.1162/rest_a_00754,citation,1
31,10.1017/s1365100520000139,10.1162/rest_a_00754,citation,1
32,10.1080/17517575.2020.1746407,10.1162/rest_a_00754,citation,1
33,10.1007/978-3-030-40390-4_1,10.1162/rest_a_00754,citation,1
34,10.1111/ilr.12168,10.1162/rest_a_00754,citation,1
35,10.1257/pandp.20201003,10.1162/rest_a_00754,citation,1
36,10.1145/3401956.3404259,10.1162/rest_a_00754,citation,1
37,10.1111/jors.12503,10.1162/rest_a_00754,citation,1
38,10.1007/s10961-020-09819-0,10.1162/rest_a_00754,citation,1
39,10.1177/0018720820922080,10.1162/rest_a_00754,citation,1
40,10.1093/epolic/eiaa002,10.1162/rest_a_00754,citation,1
0,10.1002/smj.3105,10.1287/stsc.2019.0081,citation,1
1,10.1002/smj.3185,10.1287/stsc.2019.0081,citation,1
0,10.3390/su11123259,10.3390/socsci8020037,citation,1
1,10.3390/admsci9030071,10.3390/socsci8020037,citation,1
2,10.1080/14631377.2020.1745558,10.3390/socsci8020037,citation,1
0,10.3390/su12104035,10.1111/ecin.12829,citation,1
1,10.1080/00036846.2020.1795072,10.1111/ecin.12829,citation,1
0,10.1007/978-3-030-36181-5_5,10.1007/s13209-019-0190-z,citation,1
0,10.1002/smj.3142,10.1186/s41469-019-0050-0,citation,1
1,10.1111/bjet.12998,10.1186/s41469-019-0050-0,citation,1
0,,10.1371/journal.pone.0216617,citation,1
0,,10.1371/journal.pone.0222785,citation,1
0,,10.1080/14480220.2019.1629724,citation,1
0,10.1093/epolic/eiaa002,10.1093/icc/dtz039,citation,1
0,,10.1596/978-1-4648-1333-7_ch1,citation,1
0,,10.1596/978-1-4648-1333-7_ch3,citation,1
0,,10.29067/muvu.519936,citation,1
0,10.1093/cjres/rsaa004,10.1093/cjres/rsz019,citation,1
0,10.1007/978-981-15-1652-8_7,10.1093/cjres/rsz022,citation,1
1,10.3846/jcem.2020.12317,10.1093/cjres/rsz022,citation,1
2,10.1093/cjres/rsaa004,10.1093/cjres/rsz022,citation,1
0,10.1093/cjres/rsaa004,10.1093/cjres/rsz023,citation,1
0,10.1007/s11127-019-00745-w,10.1257/aer.20181164,citation,1
1,10.1111/ecaf.12387,10.1257/aer.20181164,citation,1
2,10.1111/jcms.13029,10.1257/aer.20181164,citation,1
3,10.36687/inetwp106,10.1257/aer.20181164,citation,1
4,10.1057/978-1-349-95121-5_3079-1,10.1257/aer.20181164,citation,1
5,10.1017/s1537592719005000,10.1257/aer.20181164,citation,1
6,10.1080/1369183x.2020.1770063,10.1257/aer.20181164,citation,1
7,10.1007/s11558-020-09389-8,10.1257/aer.20181164,citation,1
8,10.1007/s40888-020-00191-8,10.1257/aer.20181164,citation,1
9,10.1080/21681376.2020.1782255,10.1257/aer.20181164,citation,1
10,10.1093/isq/sqaa057,10.1257/aer.20181164,citation,1
11,10.1007/s00038-020-01450-y,10.1257/aer.20181164,citation,1
0,,10.4018/978-1-7998-1196-1.ch005,citation,1
0,,10.1093/icc/dtz059,citation,1
0,,10.1007/978-3-319-57365-6_10-1,citation,1
0,10.1111/ilrs.12144,10.1007/978-3-319-57365-6_11-1,citation,1
1,10.1371/journal.pone.0232032,10.1007/978-3-319-57365-6_11-1,citation,1
0,,10.1007/978-3-319-57365-6_12-1,citation,1
0,,10.1007/978-3-319-57365-6_12-2,citation,1
0,,10.1007/978-3-319-57365-6_4-1,citation,1
0,,10.1007/978-3-030-34255-5_21,citation,1
0,,10.1596/978-1-4648-1457-0_ch6,citation,1
0,,10.1007/s00502-019-00742-3,citation,1
0,10.7717/peerj-matsci.5,10.1155/2020/4280156,citation,1
1,10.1155/2020/6290480,10.1155/2020/4280156,citation,1
2,10.1002/eng2.12157,10.1155/2020/4280156,citation,1
3,10.1155/2020/8545281,10.1155/2020/4280156,citation,1
4,10.1155/2020/4538602,10.1155/2020/4280156,citation,1
0,10.1007/s10961-020-09819-0,10.1080/09654313.2019.1694647,citation,1
