~id,~label,oa_link,citation_count,source_title,year,author,title
10.1162/rest_a_00754,article,http://www.mitpressjournals.org/doi/pdf/10.1162/rest_a_00754,41,The Review Of Economics And Statistics,2018,"Graetz, Georg; Michaels, Guy",Robots At Work
10.1287/stsc.2019.0081,article,https://ueaeprints.uea.ac.uk/id/eprint/73515/2/Accepted_Manuscript.pdf,2,Strategy Science,2019,"Belenzon, Sharon; Bennett, Victor Manuel, 0000-0001-6960-6412; Patacconi, Andrea","Flexible Production And Entry: Institutional, Technological, And Organizational Determinants"
10.3390/socsci8020037,article,https://www.mdpi.com/2076-0760/8/2/37/pdf,3,Social Sciences,2019,"Kovacs, Oliver",Big Ifs In Productivity-Enhancing Industry 4.0
10.1111/ecin.12829,article,,2,Economic Inquiry,2019,"Charalampidis, Nikolaos",The U.S. Labor Income Share And Automation Shocks
10.1007/s13209-019-0190-z,article,https://link.springer.com/content/pdf/10.1007/s13209-019-0190-z.pdf,1,Series,2019,"Jimeno, Juan F.",Fewer Babies And More Robots: Economic Growth In A New Era Of Demographic And Technological Changes
10.1186/s41469-019-0050-0,article,https://jorgdesign.springeropen.com/track/pdf/10.1186/s41469-019-0050-0,2,Journal Of Organization Design,2019,"Raj, Manav; Seamans, Robert, 0000-0001-9058-4190",Primer On Artificial Intelligence And Robotics
10.1371/journal.pone.0216617,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0216617&type=printable,0,Plos One,2019,"Zhang, Yinjunjie, 0000-0003-0790-1621; Xu, Zhicheng, 0000-0003-2198-8612; Palma, Marco A., 0000-0002-2080-3308",Conveniently Dependent Or Naively Overconfident? An Experimental Study On The Reaction To External Help
10.1371/journal.pone.0222785,article,https://doi.org/10.1371/journal.pone.0222785,0,Plos One,2019,"Li, Yaya, 0000-0002-1921-8478; Peng, Yongtao; Luo, Jianqiang; Cheng, Yihan; Veglianti, Eleonora",Spatial-Temporal Variation Characteristics And Evolution Of The Global Industrial Robot Trade: A Complex Network Analysis
10.1080/14480220.2019.1629724,article,https://www.tandfonline.com/doi/pdf/10.1080/14480220.2019.1629724?needAccess=true,0,International Journal Of Training Research,2019,"Sawada, Yasuyuki","Infrastructure Investments, Technologies And Jobs In Asia"
10.1093/icc/dtz039,article,https://academic.oup.com/icc/article-pdf/29/2/265/32932765/dtz039.pdf,1,Industrial And Corporate Change,2019,"Kromann, Lene; Malchow-Møller, Nikolaj; Skaksen, Jan Rose; Sørensen, Anders","Automation And Productivity—A Cross-Country, Cross-Industry Comparison"
10.1596/978-1-4648-1333-7_ch1,article,,0,A Resurgent East Asia: Navigating A Changing World,2019,"Mason, Andrew D.; Shetty, Sudhir",Developing East Asia: Retrospect And Prospects
10.1596/978-1-4648-1333-7_ch3,article,,0,A Resurgent East Asia: Navigating A Changing World,2019,"Mason, Andrew D.; Shetty, Sudhir",Fostering Inclusive Growth
10.29067/muvu.519936,article,https://dergipark.org.tr/tr/download/article-file/803723,0,Muhasebe Ve Vergi Uygulamaları Dergisi,2019,"Ela, Mehmet",Teknoloji̇k İşsi̇zli̇k Problemi̇ne Mali̇ Çözüm: Robot Vergi̇si̇ Ve Türki̇ye’Deki̇ Potansi̇yeli̇
10.1093/cjres/rsz019,article,,1,"Cambridge Journal Of Regions, Economy And Society",2019,"Leigh, Nancey Green, 0000-0002-5344-9536; Kraft, Benjamin, 0000-0002-8889-3055; Lee, Heonyeong, 0000-0003-0286-098X","Robots, Skill Demand And Manufacturing In Us Regional Labour Markets"
10.1093/cjres/rsz022,article,,3,"Cambridge Journal Of Regions, Economy And Society",2019,"Acemoglu, Daron; Restrepo, Pascual",The Wrong Kind Of Ai? Artificial Intelligence And The Future Of Labour Demand
10.1093/cjres/rsz023,article,https://academic.oup.com/cjres/article-pdf/13/1/175/33213536/rsz023.pdf,1,"Cambridge Journal Of Regions, Economy And Society",2020,"Buarque, Bernardo S; Davies, Ronald B; Hynes, Ryan M; Kogler, Dieter F",Ok Computer: The Creation And Integration Of Ai In Europe
10.1257/aer.20181164,article,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.20181164,12,American Economic Review,2019,"Fetzer, Thiemo",Did Austerity Cause Brexit?
10.4018/978-1-7998-1196-1.ch005,article,,0,"Handbook Of Research On Creating Sustainable Value In The Global Economy - Advances In Finance, Accounting, And Economics",2020,"Yildiz Çankaya, Sibel; Sezen, Bülent",Industry 4.0 And Sustainability
10.1093/icc/dtz059,article,https://www.iris.sssup.it/bitstream/11382/532914/1/2019-31.pdf,0,Industrial And Corporate Change,2019,"Santoleri, Pietro, 0000-0003-2916-6672",Innovation And Job Creation In (High-Growth) New Firms
10.1007/978-3-319-57365-6_10-1,article,https://www.econstor.eu/bitstream/10419/207346/1/dp12520.pdf,0,"Handbook Of Labor, Human Resources And Population Economics",2019,"Josten, Cecily; Lordan, Grace",Robots At Work: Automatable And Non-Automatable Jobs
10.1007/978-3-319-57365-6_11-1,article,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57365-6_11-1.pdf,2,"Handbook Of Labor, Human Resources And Population Economics",2019,"Arntz, Melanie; Gregory, Terry; Zierahn, Ulrich",Digitization And The Future Of Work: Macroeconomic Consequences
10.1007/978-3-319-57365-6_12-1,article,,0,"Handbook Of Labor, Human Resources And Population Economics",2020,"Van Roy, Vincent; Vertesy, Daniel; Damioli, Giacomo",Ai And Robotics Innovation
10.1007/978-3-319-57365-6_12-2,article,,0,"Handbook Of Labor, Human Resources And Population Economics",2020,"Van Roy, Vincent; Vertesy, Daniel; Damioli, Giacomo",Ai And Robotics Innovation
10.1007/978-3-319-57365-6_4-1,article,,0,"Handbook Of Labor, Human Resources And Population Economics",2020,"Dachs, Bernhard; Hud, Martin; Peters, Bettina","Innovation, Employment, And The Business Cycle"
10.1007/978-3-030-34255-5_21,article,,0,Lecture Notes In Computer Science - Ambient Intelligence,2019,"Reforgiato Recupero, Diego, 0000-0001-8646-6183; Dessì, Danilo, 0000-0003-3843-3285; Concas, Emanuele, 0000-0002-9461-1501",A Flexible And Scalable Architecture For Human-Robot Interaction
10.1596/978-1-4648-1457-0_ch6,article,,0,World Development Report 2020: Trading For Development In The Age Of Global Value Chains,2019,,Technological Change
10.1007/s00502-019-00742-3,article,https://link.springer.com/content/pdf/10.1007/s00502-019-00742-3.pdf,0,E & I Elektrotechnik Und Informationstechnik,2019,"Gnambs, Timo, 0000-0002-6984-1276",Attitudes Towards Emergent Autonomous Robots In Austria And Germany
10.1155/2020/4280156,article,https://doi.org/10.1155/2020/4280156,5,Journal Of Engineering,2020,"Bongomin, Ocident, 0000-0002-0430-2722; Gilibrays Ocen, Gilbert; Oyondi Nganyi, Eric; Musinguzi, Alex; Omara, Timothy, 0000-0002-0175-1055",Exponential Disruptive Technologies And The Required Skills Of Industry 4.0
10.1080/09654313.2019.1694647,article,https://www.tandfonline.com/doi/pdf/10.1080/09654313.2019.1694647?needAccess=true,1,European Planning Studies,2019,"Cséfalvay, Zoltán",Robotization In Central And Eastern Europe: Catching Up Or Dependence?
10.35774/econa2018.03.047,article,https://www.econa.org.ua/index.php/econa/article/download/1582/6565656650,0,Economic Analysis,2018,"Lazebnyk, Iuliia, 0000-0002-2567-9764",Theoretical And Methodological Background To Statistical Assessment Of Employment Quality In Local Units
10.1080/10438599.2019.1685211,article,,0,Economics Of Innovation And New Technology,2019,"Aldieri, Luigi, 0000-0001-9300-6804; Barra, Cristian, 0000-0001-8108-3888; Paolo Vinci, Concetto, 0000-0002-8686-3741; Zotti, Roberto, 0000-0002-9493-7659",The Joint Impact Of Different Types Of Innovation On Firm'S Productivity: Evidence From Italy
10.1080/1351847x.2019.1703024,article,,0,The European Journal Of Finance,2019,"An, Jiafu; Rau, Raghavendra, 0000-0002-3320-5104","Finance, Technology And Disruption"
10.1017/s1365100520000139,article,https://www.econstor.eu/bitstream/10419/215429/1/1693366916.pdf,0,Macroeconomic Dynamics,2020,"Gasteiger, Emanuel; Prettner, Klaus","Automation, Stagnation, And The Implications Of A Robot Tax"
10.1080/17517575.2020.1746407,article,,0,Enterprise Information Systems,2020,"Yang, Jie; Ying, Limeng; Gao, Manru",The Influence Of Intelligent Manufacturing On Financial Performance And Innovation Performance: The Case Of China
10.1007/978-3-030-40390-4_1,article,,0,"Contributions To Management Science - Knowledge, People, And Digital Transformation",2020,"Matos, Florinda; Vairinhos, Valter; Salavisa, Isabel; Edvinsson, Leif; Massaro, Maurizio",Introduction
10.1111/ilr.12168,article,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ilr.12168,0,International Labour Review,2020,"Abeliansky, Ana L.; Algur, Eda; Bloom, David E.; Prettner, Klaus",The Future Of Work: Meeting The Global Challenges Of Demographic Change And Automation
10.1257/pandp.20201003,article,https://www.aeaweb.org/doi/10.1257/pandp.20201003.appx,0,Aea Papers And Proceedings,2020,"Acemoglu, Daron; Lelarge, Claire; Restrepo, Pascual",Competing With Robots: Firm-Level Evidence From France
10.1145/3401956.3404259,article,,0,Proceedings Of The 7Th International Conference On Movement And Computing,2020,"Cuan, Catie",Output
10.1111/jors.12503,article,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/0b63f840-5398-4749-9404-01579c7d52c0/DEM2019_05.pdf,0,Journal Of Regional Science,2020,"Caselli, Mauro, 0000-0002-1132-1665; Fracasso, Andrea, 0000-0003-1581-8481; Traverso, Silvio, 0000-0003-1128-1402","Globalization, Robotization, And Electoral Outcomes: Evidence From Spatial Regressions For Italy"
10.1007/s10961-020-09819-0,article,https://link.springer.com/content/pdf/10.1007/s10961-020-09819-0.pdf,0,The Journal Of Technology Transfer,2020,"Jungmittag, Andre, 0000-0002-1725-2824",Robotisation Of The Manufacturing Industries In The Eu: Convergence Or Divergence?
10.1177/0018720820922080,article,,0,Human Factors: The Journal Of The Human Factors And Ergonomics Society,2020,"Hancock, P. A., 0000-0002-4936-066X; Kessler, Theresa T.; Kaplan, Alexandra D.; Brill, John C.; Szalma, James L.",Evolving Trust In Robots: Specification Through Sequential And Comparative Meta-Analyses
10.1093/epolic/eiaa002,article,,0,Economic Policy,2019,"Kromann, Lene; Sørensen, Anders","Automation, Performance And International Competition: A Firm-Level Comparison Of Process Innovation"
10.1287/stsc.2019.0081,article,https://ueaeprints.uea.ac.uk/id/eprint/73515/2/Accepted_Manuscript.pdf,2,Strategy Science,2019,"Belenzon, Sharon; Bennett, Victor Manuel, 0000-0001-6960-6412; Patacconi, Andrea","Flexible Production And Entry: Institutional, Technological, And Organizational Determinants"
10.1002/smj.3105,article,,1,Strategic Management Journal,2019,"Bennett, Victor M., 0000-0001-6960-6412; Hall, Todd A., 0000-0003-3806-3165",Software Availability And Entry
10.1002/smj.3185,article,https://repository.upenn.edu/cgi/viewcontent.cgi?article=1210&context=mgmt_papers,0,Strategic Management Journal,2020,"Bennett, Victor Manuel, 0000-0001-6960-6412",Changes In Persistence Of Performance Over Time
10.3390/socsci8020037,article,https://www.mdpi.com/2076-0760/8/2/37/pdf,3,Social Sciences,2019,"Kovacs, Oliver",Big Ifs In Productivity-Enhancing Industry 4.0
10.3390/su11123259,article,https://www.mdpi.com/2071-1050/11/12/3259/pdf,5,Sustainability,2019,"Daú, Gláucya, 0000-0002-1948-9868; Scavarda, Annibal; Scavarda, Luiz Felipe; Portugal, Vivianne Julianelli Taveira",The Healthcare Sustainable Supply Chain 4.0: The Circular Economy Transition Conceptual Framework With The Corporate Social Responsibility Mirror
10.3390/admsci9030071,article,https://www.mdpi.com/2076-3387/9/3/71/pdf,2,Administrative Sciences,2019,"Madsen, Dag Øivind, 0000-0001-8735-3332",The Emergence And Rise Of Industry 4.0 Viewed Through The Lens Of Management Fashion Theory
10.1080/14631377.2020.1745558,article,http://real.mtak.hu/114757/1/1%20csatolmany.pdf,0,Post-Communist Economies,2020,"Kovacs, Oliver, 0000-0001-8413-6973",The Hungarian Eurology – The Road To Perdition?
10.1111/ecin.12829,article,,2,Economic Inquiry,2019,"Charalampidis, Nikolaos",The U.S. Labor Income Share And Automation Shocks
10.3390/su12104035,article,https://www.mdpi.com/2071-1050/12/10/4035/pdf,0,Sustainability,2020,"Sima, Violeta, 0000-0001-5958-8222; Gheorghe, Ileana Georgiana; Subić, Jonel; Nancu, Dumitru",Influences Of The Industry 4.0 Revolution On The Human Capital Development And Consumer Behavior: A Systematic Review
10.1080/00036846.2020.1795072,article,,0,Applied Economics,2020,"Dixon, Robert; Lim, G. C.",Is The Decline In Labour’S Share In The Us Driven By Changes In Technology And/Or Market Power? An Empirical Analysis
10.1007/s13209-019-0190-z,article,https://link.springer.com/content/pdf/10.1007/s13209-019-0190-z.pdf,1,Series,2019,"Jimeno, Juan F.",Fewer Babies And More Robots: Economic Growth In A New Era Of Demographic And Technological Changes
10.1007/978-3-030-36181-5_5,article,,0,"Identity, Institutions And Governance In An Ai World",2020,"Bloom, Peter",Creating Smart Economies: Administrating Empowering Futures
10.1186/s41469-019-0050-0,article,https://jorgdesign.springeropen.com/track/pdf/10.1186/s41469-019-0050-0,2,Journal Of Organization Design,2019,"Raj, Manav; Seamans, Robert, 0000-0001-9058-4190",Primer On Artificial Intelligence And Robotics
10.1002/smj.3142,article,,2,Strategic Management Journal,2020,"Tidhar, Ron, 0000-0001-8122-9840; Eisenhardt, Kathleen M.",Get Rich Or Die Trying… Finding Revenue Model Fit Using Machine Learning And Multiple Cases
10.1111/bjet.12998,article,,0,British Journal Of Educational Technology,2020,"Wang, Shanyong; Yu, Haotian; Hu, Xianfeng; Li, Jun",Participant Or Spectator? Comprehending The Willingness Of Faculty To Use Intelligent Tutoring Systems In The Artificial Intelligence Era
10.1371/journal.pone.0216617,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0216617&type=printable,0,Plos One,2019,"Zhang, Yinjunjie, 0000-0003-0790-1621; Xu, Zhicheng, 0000-0003-2198-8612; Palma, Marco A., 0000-0002-2080-3308",Conveniently Dependent Or Naively Overconfident? An Experimental Study On The Reaction To External Help
10.1371/journal.pone.0222785,article,https://doi.org/10.1371/journal.pone.0222785,0,Plos One,2019,"Li, Yaya, 0000-0002-1921-8478; Peng, Yongtao; Luo, Jianqiang; Cheng, Yihan; Veglianti, Eleonora",Spatial-Temporal Variation Characteristics And Evolution Of The Global Industrial Robot Trade: A Complex Network Analysis
10.1080/14480220.2019.1629724,article,https://www.tandfonline.com/doi/pdf/10.1080/14480220.2019.1629724?needAccess=true,0,International Journal Of Training Research,2019,"Sawada, Yasuyuki","Infrastructure Investments, Technologies And Jobs In Asia"
10.1093/icc/dtz039,article,https://academic.oup.com/icc/article-pdf/29/2/265/32932765/dtz039.pdf,1,Industrial And Corporate Change,2019,"Kromann, Lene; Malchow-Møller, Nikolaj; Skaksen, Jan Rose; Sørensen, Anders","Automation And Productivity—A Cross-Country, Cross-Industry Comparison"
10.1093/epolic/eiaa002,article,,0,Economic Policy,2019,"Kromann, Lene; Sørensen, Anders","Automation, Performance And International Competition: A Firm-Level Comparison Of Process Innovation"
10.1596/978-1-4648-1333-7_ch1,article,,0,A Resurgent East Asia: Navigating A Changing World,2019,"Mason, Andrew D.; Shetty, Sudhir",Developing East Asia: Retrospect And Prospects
